Episode,DateEpisode,TotalCases,Imported,Mechanism,DateOneCase,DateMoreOneCase,DateImported,DateMoreFiveCases,VIM,KPC,OXA48,NDM,Department,Region
85,30/09/2011,1,O,NDM-1  ,30/09/2011,,30/09/2011,,,,,30/09/2011,78,IledeFrance
86,8/9/11,1,O,OXA-48  ,8/9/11,,8/9/11,,,,8/9/11,,75,IledeFrance
87,28/09/2011,1,O,OXA-48  ,28/09/2011,,28/09/2011,,,,28/09/2011,,75,IledeFrance
88,30/09/2011,1,O,OXA-48  ,30/09/2011,,30/09/2011,,,,30/09/2011,,6,ProvenceAlpesCotedAzur
89,21/11/2011,1,O,OXA-48  ,21/11/2011,,21/11/2011,,,,21/11/2011,,59,Hauts-de-France
90,19/10/2011,1,O,OXA-48  ,19/10/2011,,19/10/2011,,,,19/10/2011,,92,IledeFrance
91,25/10/2011,1,O,OXA-48  ,25/10/2011,,25/10/2011,,,,25/10/2011,,6,ProvenceAlpesCotedAzur
92,10/10/11,1,O,VIM  ,10/10/11,,10/10/11,,10/10/11,,,,83,ProvenceAlpesCotedAzur
93,4/11/11,1,O,OXA-48  ,4/11/11,,4/11/11,,,,4/11/11,,75,IledeFrance
94,9/11/11,1,O,OXA-48  ,9/11/11,,9/11/11,,,,9/11/11,,75,IledeFrance
95,10/4/12,4,O,OXA-48  ,,10/4/12,10/4/12,,,,10/4/12,,92,IledeFrance
96,28/10/2011,1,O,NDM-1  ,28/10/2011,,28/10/2011,,,,,28/10/2011,94,IledeFrance
97,9/11/11,1,O,OXA-48  ,9/11/11,,9/11/11,,,,9/11/11,,75,IledeFrance
98,26/10/2011,1,O,OXA-48  ,26/10/2011,,26/10/2011,,,,26/10/2011,,75,IledeFrance
99,9/11/11,1,O,KPC  ,9/11/11,,9/11/11,,,9/11/11,,,6,ProvenceAlpesCotedAzur
100,18/11/2011,1,O,NDM-1  ,18/11/2011,,18/11/2011,,,,,18/11/2011,974,La Reunion
101,8/11/11,1,O,VIM  ,8/11/11,,8/11/11,,8/11/11,,,,94,IledeFrance
102,8/4/11,1,O,OXA-48  ,8/4/11,,8/4/11,,,,8/4/11,,6,ProvenceAlpesCotedAzur
103,16/12/2011,1,O,OXA-181  ,16/12/2011,,16/12/2011,,,,,,974,La Reunion
104,12/12/11,1,O,OXA-48  ,12/12/11,,12/12/11,,,,12/12/11,,69,AuvergneRhoneAlpes
105,8/12/11,1,O,NDM  ,8/12/11,,8/12/11,,,,,8/12/11,75,IledeFrance
106,8/12/11,2,O,KPC  ,,8/12/11,8/12/11,,,8/12/11,,,75,IledeFrance
107,1/12/11,1,O,OXA-48  ,1/12/11,,1/12/11,,,,1/12/11,,92,IledeFrance
108,1/9/11,1,O,OXA-48  ,1/9/11,,1/9/11,,,,1/9/11,,92,IledeFrance
109,5/10/11,1,O,OXA-48  ,5/10/11,,5/10/11,,,,5/10/11,,92,IledeFrance
110,1/9/11,1,O,OXA-48  ,1/9/11,,1/9/11,,,,1/9/11,,94,IledeFrance
111,10/1/12,2,O,OXA-48  ,,10/1/12,10/1/12,,,,10/1/12,,93,IledeFrance
112,5/1/12,1,O,OXA-48  ,5/1/12,,5/1/12,,,,5/1/12,,94,IledeFrance
113,16/01/2012,1,O,OXA-181 NDM-1 ,16/01/2012,,16/01/2012,,,,,16/01/2012,91,IledeFrance
114,21/01/2012,1,O,OXA-48  ,21/01/2012,,21/01/2012,,,,21/01/2012,,38,AuvergneRhoneAlpes
115,18/01/2012,2,O,OXA-162  ,,18/01/2012,18/01/2012,,,,,,94,IledeFrance
116,20/01/2012,1,O,OXA-48  ,20/01/2012,,20/01/2012,,,,20/01/2012,,94,IledeFrance
117,3/2/12,1,O,OXA-48  ,3/2/12,,3/2/12,,,,3/2/12,,94,IledeFrance
118,27/01/2012,1,O,OXA-48  ,27/01/2012,,27/01/2012,,,,27/01/2012,,85,Pays de la Loire
119,1/2/12,1,O,NDM-1  ,1/2/12,,1/2/12,,,,,1/2/12,75,IledeFrance
120,27/01/2012,1,O,OXA-48  ,27/01/2012,,27/01/2012,,,,27/01/2012,,31,Occitanie
121,30/01/2012,1,O,OXA-48  ,30/01/2012,,30/01/2012,,,,30/01/2012,,13,ProvenceAlpesCotedAzur
122,6/2/12,1,O,NDM-1  ,6/2/12,,6/2/12,,,,,6/2/12,75,IledeFrance
123,17/02/2012,1,O,OXA-48  ,17/02/2012,,17/02/2012,,,,17/02/2012,,92,IledeFrance
124,12/3/12,1,O,NDM-1  ,12/3/12,,12/3/12,,,,,12/3/12,974,La Reunion
125,21/02/2012,1,O,VIM  ,21/02/2012,,21/02/2012,,21/02/2012,,,,94,IledeFrance
126,21/11/2011,4,O,OXA-48  ,,21/11/2011,21/11/2011,,,,21/11/2011,,69,AuvergneRhoneAlpes
127,21/02/2012,1,O,OXA-48  ,21/02/2012,,21/02/2012,,,,21/02/2012,,91,IledeFrance
128,2/3/12,1,O,KPC  ,2/3/12,,2/3/12,,,2/3/12,,,92,IledeFrance
129,1/10/09,1,O,OXA-48  ,1/10/09,,1/10/09,,,,1/10/09,,44,Pays de la Loire
130,1/3/12,1,O,NDM-1  ,1/3/12,,1/3/12,,,,,1/3/12,83,ProvenceAlpesCotedAzur
131,19/05/2012,1,O,OXA-48  ,19/05/2012,,19/05/2012,,,,19/05/2012,,78,IledeFrance
132,23/08/2012,1,O,KPC  ,23/08/2012,,23/08/2012,,,23/08/2012,,,34,Occitanie
133,14/03/2012,2,O,KPC  ,,14/03/2012,14/03/2012,,,14/03/2012,,,69,AuvergneRhoneAlpes
134,22/03/2012,1,O,OXA-48  ,22/03/2012,,22/03/2012,,,,22/03/2012,,18,Centre-Val de Loire
135,14/03/2012,1,O,OXA-48  ,14/03/2012,,14/03/2012,,,,14/03/2012,,28,Centre-Val de Loire
136,9/4/12,2,O,OXA-48  ,,9/4/12,9/4/12,,,,9/4/12,,92,IledeFrance
137,11/4/12,1,O,KPC  ,11/4/12,,11/4/12,,,11/4/12,,,94,IledeFrance
138,3/4/12,1,O,NDM-1  ,3/4/12,,3/4/12,,,,,3/4/12,75,IledeFrance
139,28/03/2012,1,O,NDM-1  ,28/03/2012,,28/03/2012,,,,,28/03/2012,83,ProvenceAlpesCotedAzur
140,1/2/05,1,O,KPC  ,1/2/05,,1/2/05,,,1/2/05,,,75,IledeFrance
141,6/4/12,1,O,OXA-48  ,6/4/12,,6/4/12,,,,6/4/12,,93,IledeFrance
142,31/08/2009,1,O,OXA-48  ,31/08/2009,,31/08/2009,,,,31/08/2009,,91,IledeFrance
143,4/5/12,2,O,OXA-48  ,,4/5/12,4/5/12,,,,4/5/12,,94,IledeFrance
144,21/04/2012,2,O,OXA-48  ,,21/04/2012,21/04/2012,,,,21/04/2012,,83,ProvenceAlpesCotedAzur
145,2/5/12,1,O,VIM  ,2/5/12,,2/5/12,,2/5/12,,,,93,IledeFrance
146,29/04/2012,1,O,OXA-48  ,29/04/2012,,29/04/2012,,,,29/04/2012,,94,IledeFrance
147,25/06/2012,1,O,NDM  ,25/06/2012,,25/06/2012,,,,,25/06/2012,59,Hauts-de-France
148,21/05/2012,1,O,KPC  ,21/05/2012,,21/05/2012,,,21/05/2012,,,94,IledeFrance
149,16/05/2012,1,O,OXA-48  ,16/05/2012,,16/05/2012,,,,16/05/2012,,94,IledeFrance
150,17/04/2012,1,O,OXA-48  ,17/04/2012,,17/04/2012,,,,17/04/2012,,33,Nouvelle-Aquitaine
151,25/05/2012,1,O,OXA-48  ,25/05/2012,,25/05/2012,,,,25/05/2012,,75,IledeFrance
152,27/05/2012,1,O,KPC  ,27/05/2012,,27/05/2012,,,27/05/2012,,,92,IledeFrance
153,21/05/2012,1,O,OXA-48  ,21/05/2012,,21/05/2012,,,,21/05/2012,,68,Grand Est
154,1/6/12,1,O,OXA-48  ,1/6/12,,1/6/12,,,,1/6/12,,94,IledeFrance
155,13/05/2012,1,O,OXA-48  ,13/05/2012,,13/05/2012,,,,13/05/2012,,34,Occitanie
156,20/05/2012,1,O,KPC  ,20/05/2012,,20/05/2012,,,20/05/2012,,,94,IledeFrance
157,25/05/2012,1,O,OXA-48  ,25/05/2012,,25/05/2012,,,,25/05/2012,,34,Occitanie
158,12/6/12,1,O,KPC  ,12/6/12,,12/6/12,,,12/6/12,,,69,AuvergneRhoneAlpes
159,9/5/12,1,O,OXA-48  ,9/5/12,,9/5/12,,,,9/5/12,,75,IledeFrance
160,14/06/2012,1,O,OXA-48  ,14/06/2012,,14/06/2012,,,,14/06/2012,,92,IledeFrance
161,21/05/2012,1,O,KPC  ,21/05/2012,,21/05/2012,,,21/05/2012,,,51,Grand Est
162,5/7/12,1,O,OXA-48  ,5/7/12,,5/7/12,,,,5/7/12,,90,Bourgogne-Franche-Comtâ
163,6/7/12,1,O,OXA-48  ,6/7/12,,6/7/12,,,,6/7/12,,94,IledeFrance
164,6/7/12,1,O,OXA-48  ,6/7/12,,6/7/12,,,,6/7/12,,78,IledeFrance
165,27/05/2012,1,O,OXA-48  ,27/05/2012,,27/05/2012,,,,27/05/2012,,75,IledeFrance
166,26/07/2012,1,O,OXA-48  ,26/07/2012,,26/07/2012,,,,26/07/2012,,94,IledeFrance
167,9/6/12,1,O,OXA-48  ,9/6/12,,9/6/12,,,,9/6/12,,50,Normandie
168,17/07/2012,1,O,NDM  ,17/07/2012,,17/07/2012,,,,,17/07/2012,92,IledeFrance
169,23/07/2012,1,O,OXA-48  ,23/07/2012,,23/07/2012,,,,23/07/2012,,92,IledeFrance
170,18/06/2012,1,O,OXA-48  ,18/06/2012,,18/06/2012,,,,18/06/2012,,34,Occitanie
171,4/8/12,1,O,VIM  ,4/8/12,,4/8/12,,4/8/12,,,,75,IledeFrance
172,9/8/12,1,O,OXA-48  ,9/8/12,,9/8/12,,,,9/8/12,,75,IledeFrance
173,28/07/2012,1,O,VIM  ,28/07/2012,,28/07/2012,,28/07/2012,,,,95,IledeFrance
174,3/5/12,2,O,OXA-48  ,,3/5/12,3/5/12,,,,3/5/12,,94,IledeFrance
175,21/08/2012,1,O,OXA-48  ,21/08/2012,,21/08/2012,,,,21/08/2012,,73,AuvergneRhoneAlpes
176,3/8/12,1,O,OXA-48  ,3/8/12,,3/8/12,,,,3/8/12,,65,Occitanie
177,15/08/2012,1,O,OXA-48  ,15/08/2012,,15/08/2012,,,,15/08/2012,,94,IledeFrance
178,3/8/12,1,O,OXA-48  ,3/8/12,,3/8/12,,,,3/8/12,,60,Hauts-de-France
179,30/08/2012,1,O,OXA-48  ,30/08/2012,,30/08/2012,,,,30/08/2012,,77,IledeFrance
180,30/08/2012,1,O,OXA-48  ,30/08/2012,,30/08/2012,,,,30/08/2012,,93,IledeFrance
181,22/06/2012,1,O,NDM-1  ,22/06/2012,,22/06/2012,,,,,22/06/2012,75,IledeFrance
182,12/9/12,1,O,NDM  ,12/9/12,,12/9/12,,,,,12/9/12,92,IledeFrance
183,25/08/2012,1,O,OXA-48  ,25/08/2012,,25/08/2012,,,,25/08/2012,,93,IledeFrance
184,28/07/2012,1,O,OXA-48  ,28/07/2012,,28/07/2012,,,,28/07/2012,,75,IledeFrance
185,4/4/11,1,O,KPC  ,4/4/11,,4/4/11,,,4/4/11,,,75,IledeFrance
186,12/9/12,1,O,OXA-48  ,12/9/12,,12/9/12,,,,12/9/12,,92,IledeFrance
187,28/08/2012,1,O,OXA-48  ,28/08/2012,,28/08/2012,,,,28/08/2012,,92,IledeFrance
188,13/09/2012,1,O,OXA-48  ,13/09/2012,,13/09/2012,,,,13/09/2012,,92,IledeFrance
189,22/08/2012,1,O,OXA-48  ,22/08/2012,,22/08/2012,,,,22/08/2012,,75,IledeFrance
190,13/09/2012,1,O,NDM-1  ,13/09/2012,,13/09/2012,,,,,13/09/2012,94,IledeFrance
191,12/9/12,1,O,OXA-48  ,12/9/12,,12/9/12,,,,12/9/12,,75,IledeFrance
192,12/9/12,1,O,NDM-1  ,12/9/12,,12/9/12,,,,,12/9/12,75,IledeFrance
193,29/09/2012,2,O,KPC  ,,29/09/2012,29/09/2012,,,29/09/2012,,,94,IledeFrance
194,5/9/12,2,O,OXA-48  ,,5/9/12,5/9/12,,,,5/9/12,,93,IledeFrance
195,7/10/12,1,O,NDM  ,7/10/12,,7/10/12,,,,,7/10/12,75,IledeFrance
196,12/9/12,1,O,OXA-48  ,12/9/12,,12/9/12,,,,12/9/12,,92,IledeFrance
197,13/09/2013,1,O,KPC  ,13/09/2013,,13/09/2013,,,13/09/2013,,,33,Nouvelle-Aquitaine
198,21/09/2012,1,O,OXA-48  ,21/09/2012,,21/09/2012,,,,21/09/2012,,93,IledeFrance
