Episode;DateEpisode;TotalCases;Imported;Mechanism;DateOneCase;DateMoreOneCase;DateImported;DateMoreFiveCases;VIM;KPC;OXA48;NDM;Department;Region
108;23/08/2011;1;O;OXA-48  ;23/08/2011;;23/08/2011;;;;23/08/2011;;42;Auvergne-Rhone-Alpes
109;23/08/2011;1;N;OXA-48  ;23/08/2011;;;;;;23/08/2011;;30;Occitanie
110;01/09/2011;1;O;OXA-48  ;01/09/2011;;01/09/2011;;;;01/09/2011;;75;Ile-de-France
111;01/09/2011;1;O;OXA-48  ;01/09/2011;;01/09/2011;;;;01/09/2011;;92;Ile-de-France
112;01/09/2011;1;O;OXA-48  ;01/09/2011;;01/09/2011;;;;01/09/2011;;94;Ile-de-France
113;01/09/2011;1;N;KPC  ;01/09/2011;;;;;01/09/2011;;;91;Ile-de-France
114;06/09/2011;1;O;OXA-48  ;06/09/2011;;06/09/2011;;;;06/09/2011;;92;Ile-de-France
115;08/09/2011;1;O;OXA-48  ;08/09/2011;;08/09/2011;;;;08/09/2011;;75;Ile-de-France
116;09/09/2011;1;O;KPC  ;09/09/2011;;09/09/2011;;;09/09/2011;;;80;Hauts-de-France
117;09/09/2011;1;N;NDM-1  ;09/09/2011;;;;;;;09/09/2011;33;Nouvelle-Aquitaine
118;11/09/2011;1;N;OXA-48  ;11/09/2011;;;;;;11/09/2011;;62;Hauts-de-France
119;19/09/2011;20;O;KPC-2  ;;19/09/2011;19/09/2011;19/09/2011;;19/09/2011;;;93;Ile-de-France
120;19/09/2011;1;O;KPC  ;19/09/2011;;19/09/2011;;;19/09/2011;;;94;Ile-de-France
121;20/09/2011;1;O;NDM-1  ;20/09/2011;;20/09/2011;;;;;20/09/2011;75;Ile-de-France
122;27/09/2011;1;O;OXA-48  ;27/09/2011;;27/09/2011;;;;27/09/2011;;93;Ile-de-France
123;27/09/2011;2;O;OXA-48  ;;27/09/2011;27/09/2011;;;;27/09/2011;;75;Ile-de-France
124;27/09/2011;1;O;OXA-48  ;27/09/2011;;27/09/2011;;;;27/09/2011;;94;Ile-de-France
125;28/09/2011;1;O;OXA-48  ;28/09/2011;;28/09/2011;;;;28/09/2011;;93;Ile-de-France
126;28/09/2011;1;O;OXA-48  ;28/09/2011;;28/09/2011;;;;28/09/2011;;75;Ile-de-France
127;30/09/2011;1;O;NDM-1  ;30/09/2011;;30/09/2011;;;;;30/09/2011;78;Ile-de-France
128;30/09/2011;1;O;OXA-48  ;30/09/2011;;30/09/2011;;;;30/09/2011;;6;Provence-Alpes-Cote d'Azur
129;04/10/2011;1;N;VIM  ;04/10/2011;;;;04/10/2011;;;;67;Grand Est
130;05/10/2011;1;O;OXA-48  ;05/10/2011;;05/10/2011;;;;05/10/2011;;92;Ile-de-France
131;05/10/2011;1;N;OXA-48  ;05/10/2011;;;;;;05/10/2011;;37;Centre-Val de Loire
132;06/10/2011;1;N;OXA-48  ;06/10/2011;;;;;;06/10/2011;;6;Provence-Alpes-Cote d'Azur
